Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
SYLVANUS BUILDERS AND DEVELOPERS LT,AURUM TOWNSHIP VILLAGE:PADUR  OLD M, ,KANCHIPURAM,603103, , ,,,,,1000732,MG08,Distributor,,1,-599389,,,,
ADARSH ELECTRICAL & ENGINEERING,K.N.REDDY COMPLEX MAIN ROAD  JADCHE, ,MAHBUBNAGAR,509301, , ,,,,,1000874,MG08,Distributor,,1,-137,,,,
NEELANCHAL GRIHANIRMAN PVT. LTD.,# 7  HOSUR ROAD , ,BANGALORE,560068, , ,,,,,1001212,MG03,Distributor,,1,-8682,,,,
JAIN SRIKAR CONSTRUCTIONS,H.NO - 1- 98/9 /3/21  AMMA NILAYAM  JAIHIND ENCLAVE, ,HYDERABAD,500081,auroville@jainsrikar.com,9573298219,,,,,1001213,MG01,Distributor,,1,764391,,,,
RAM LAL HARBANS LAL,FEROZEPUR ROAD  OUT OF OCTROI , ,LUDHIANA,141001,rlhlludhiana@gmail.com,9417045702,,,,,1001214,MG07,Distributor,,1,103492.66,,,,
SHREE VISWAKARMA CONSTRUCTION,BAZAR PADA (BELPAHAR)  P.O.: BELPAH, ,BELPAHAR, ,dash.giridhari122@gmail.om,9437253821,,,,,1001215,MG08,Distributor,,1,-37337,,,,
R K TRADING COMPANY, , ,AGRA,282001,rktradingcompany1902@gmail.com, ,,,,,1001216,MG08,Distributor,,1,757347,,,,
DRIPLEX WATER ENGINEERING LIMITED, , ,ERNAKULAM,682302,asanengineers@gmail.com, ,,,,,1001217,MG04,Distributor,,1,0,,,,
VOLTAS LIMITED,KOCHI-EM&RBG (OFFICE)  SHEMA BUILDI, ,KOCHI,682016,deepakhajari@voltas.com, ,,,,,1001218,MG11,Distributor,,1,-1322479,,,,
ANANDA AGENCIES,153  JAWAHAR BAZAR, ,KARUR,639001,aaskrr@gmail.com,9443122292,,,,,1001219,MG09,Distributor,,1,132381,,,,
TUBOPLASTIC U-PVC  SC.,CTRA. NACIONAL 5  KM 101  45683 CAZALEGAS (TOLEDO)  NIF: J45, ,TOLEDO,45683, , ,,,,,2000042,MG05,Distributor,,1,0,,,,
I-MECH AUSTRALIA PTY. LTD,9 WHITEMAN AVENUE, ,BELLA VIST, , , ,,,,,2000043,MG05,Distributor,,1,0,,,,
PT.MITRAJAYA ABADI SENTOSA,RUKO SENTRA GADING SERPONG BLOK SG1 NO.23, ,TANJERANG, ,mjasfr@cbn.net.id, ,,,,,2000045,MG05,Distributor,,1,0,,,,
CHANDRA AGENCIES,X-10/2 MIDC  MANIK CHOWK NEAR BANK, ,AHMEDNAGAR,414111, ,9822210349,,,,,1000144,MG08,Distributor,,2000000,-509,,,,
CLASSIC SALES CORPORATION,1/365 ORAKKADU ROAD  SHOLAVARAM ROA, ,CHENNAI,600067, , ,,,,,1000145,MG09,Distributor,,1000000,-126681,,,,
COMPETENT CONSTRUCTIONS,LA REGENCIA PROJECT  SEC-19 , ,PANIPAT,132103, , ,,,,,1000146,MG07,Distributor,,1,0,,,,
COREMIND SOFTWARE & SERVICES PVT LT,NO. 3 ULSOOR ROAD  4TH FLOOR SALARP, ,BANGALORE,560042, , ,,,,,1000147,MG03,Distributor,,1,0,,,,
CALCUTTA TUBE CENTRE,40/5885 M.G.ROAD NEAR PADMA JN.  OP, ,ERNAKULAM,682035,calcuttatubecentre@yahoo.com, ,,,,,1000148,MG06,Distributor,,1000000,-174275,,,,
GOA PIPES AND STEEL COMPANY,A-9 ZARINA TOWER OPP.KAMATH ARCADE , ,GOA,403001,goapipes@hotmail.com,9422439176,,,,,1000149,MG02,Distributor,,5100000,-206558.83,,,,
CLASSIC ENTERPRISE,12/131/1 SRIMURUGAN PLAZA  M.C.ROAD, ,THIRUVALLA,689101, ,9495555160,,,,,1000150,MG06,Distributor,,1000000,-594623,,,,
CANTER ENGINEERS PVT.LTD.,NO.-227 2ND MAIN 8TH BLOCK  KORAMAG, ,BANGALORE,560095, , ,,,,,1000151,MG08,Distributor,,1,-4318102,,,,
CHANDRA ENTERPRISES PVT LTD.,PLOT NO. 6 RAM NAGAR EXTN  VELACHER, ,CHENNAI,600091,cepl1963@yahoo.co.in, ,,,,,1000152,MG09,Distributor,,1,-2017109,,,,
CUBIX INTERNATIONAL,A-2 NEW SIYAGANJ  BLOCK NO A-1, ,INDORE,452007,harish_sanitations@yahoo.co.in,9425903672,,,,,1000153,MG08,Distributor,,1,-268187,,,,
CHANDRA SHOBHA ENTERPRISES,RUHATTA, ,JAUNPUR,222002, , ,,,,,1000154,MG07,Distributor,,1,23594,,,,
DOSHI BROTHERS,4-1-488  TROOP BAZAR , ,HYDERABAD,500001,doshi@doshibrothers.com,9246524141,,,,,1000155,MG01,Distributor,,1,0,,,,
DEVI ENTERPRISES,SARASWATHY VILASOMVRN-A-4  CHATTAMB, ,THIRUVANANTHAPURAM,690548,devisales@gmail.com,9447482415,,,,,1000156,MG06,Distributor,,1,0,,,,
DRIPLEX WATER ENGINEERING LTD.,303  CENTRE POINT  J.B NAGAR  ANDHE, ,MUMBAI,400059, , ,,,,,1000157,MG04,Distributor,,1,0,,,,
DCM SHRIRAM CONSOLIDATED LTD.,(A UNIT : SHRIRAM ALKALI & CHEMICAL, ,BHARUCH,393110, , ,,,,,1000158,MG04,Distributor,,1,0,,,,
DILLIP CONSTRUCTIONS PVT. LTD.,L / 29  BARAMUNDA HOUSING BOARD COL, ,BHUBANESWAR,751003,dillip_khatei@yahoo.com,9437056500,,,,,1000159,MG08,Distributor,,2000000,0,,,,
DE SMET BALLESTRA INDIA PVT. LTD.,APEEJAY CHAMBERS  5  WALLACE STREET, ,MUMBAI,400001, , ,,,,,1000160,MG04,Distributor,,1,0,,,,
DHARA HARDWARE,OPP.MAHESH HOTEL SANALA ROAD  TA. M, ,MORBI,360001, ,98252776079,,,,,1000161,MG08,Distributor,,2000000,8627,,,,
DURABLE MARKETING PVT. LTD.,NO:146 RAJAJI NAGAR  3RD STREET MAD, ,CHENNAI,600091, , ,,,,,1000162,MG09,Distributor,,1000000,-129589,,,,
DEVI ENTERPRISES.,KUMARAPURAM P.O., ,HARIPAD,690548,devisales@gmail.com,9447482415,,,,,1000163,MG06,Distributor,,1800000,-1353518.59,,,,
ION EXCHANGE (I) LIMITED,ION HOUSE' PLOT NO 2  SECTOR - 18 , ,NAVI MUMBA,400705, , ,,,,,1000250,MG04,Distributor,,1,-156025.06,,,,
INDO NEPAL TRADING SYNDICATE,JAWAHARLAL ROAD , ,MUZAFFARPUR,842001, ,9431238757,,,,,1000251,MG08,Distributor,,2000000,-202589,,,,
ION EXCHANGE INDIA LIMITED,ION HOUSE NO. 42 B N REDDY ROAD  T., ,CHENNAI,600017, , ,,,,,1000252,MG04,Distributor,,1,-5331,,,,
ION EXCHANGE (INDIA) LIMITED.,HOUSE NO. 102   1ST FLOOR  LALA RAM, ,GURGAON,122001, , ,,,,,1000253,MG04,Distributor,,1,-55532,,,,
ION EXCHANGE (INDIA) LTD ,NAM COMPLEX  BLOCK-M PHASE-1 5TH FL, ,KOLKATA,700053, , ,,,,,1000254,MG04,Distributor,,1,0,,,,
INDOROYAL,CA/5/14  DESHBANDHU NAGAR  BAGUIHAT, ,KOLKATA,700059, , ,,,,,1000255,MG04,Distributor,,1,541,,,,
SHRI ANAND TRADING CO.,SURVEY NO.-28/1A/2A/1  NEAR SEENA B, ,AHMEDNAGAR,414001,dungarwalrahul1@gmail.com,9422225132,,,,,1000256,MG02,Distributor,,1400000,86161.89,,,,
INGLE TRADING COMPANY,OPP. DISTRICT COURT  OPP DISTRICT C, ,OSMANABAD,413501, , ,,,,,1000257,MG08,Distributor,,1,0,,,,
ION EXCHANGE INDIA LTD,ION HOUSE NO. 42 B N REDDY ROAD T.N, ,CHENNAI,600017, , ,,,,,1000258,MG04,Distributor,,1,0,,,,
IRAVATI REALTORS PVT LTD,SATTVA GROUP 4TH & 5TH FLOOR  SALAR, ,BANGALORE,560042, , ,,,,,1000259,MG03,Distributor,,1,0,,,,
INDIA TILE AND SANITARY,C 214-H MALADAHIYA VARANASI  (OPPOS, ,VARANASI,221002,indiasteelco@gmail.com, ,,,,,1000260,MG07,Distributor,,1500000,87709,,,,
JUPITER AGENCIES OF INDIA,100FT ROAD SOBHAGHPURA  OPPOSITE TE, ,UDAIPUR,313001,jupiterj@rediffmail.com,94142353267,,,,,1000261,MG08,Distributor,,2000000,-3347297.94,,,,
JAIMAL AGARWAL,SINGH BUILDING  MAIN ROAD , ,ROURKELA,769001,jaimaiagarwal@gmail.com,9437043777,,,,,1000262,MG08,Distributor,,2000000,-150331,,,,
JUGNU TRADING CORPORATION,HARIDAS CHATTERJEE MARG  RAMNA ROAD, ,GAYA,823001,jugnutradingcorporation@yahoo.com, ,,,,,1000263,MG08,Distributor,,2000000,-921376,,,,
JANKI AGENCIES,NOWABAD NEAR POOJA MEDICAL HALL  SU, ,JAMMU,180001,jankiagencies.jammu@gmail.com,9419147579,,,,,1000264,MG08,Distributor,,2000000,-282814,,,,
SHREE DATTA ENTERPRISES,S.NO. 177 MALWADI MUNDHAVA RD.  SAD, ,PUNE,411028,shaileshtupe1976@gmail.com, ,,,,,1000265,MG02,Distributor,,2000000,-2921483,,,,
SAWANT AND COMPANY,NEAR JAIN MANDIR  SANGLI ROAD , ,SHIROLI,416122,sawantcompany@gmail.com,9860679595,,,,,1000266,MG02,Distributor,,1,6100,,,,
JAGADHARI SANITATION & STORE,NEAR HINDU GIRLS HIGH SCHOOL  COURT, ,JAGADHARI,135001, , ,,,,,1000268,MG07,Distributor,,1500000,8171,,,,
JSW STEEL LIMITED,P.O. VIDYANAGAR  VILLAGE TORANAGALL, ,BELLARY,583275, , ,,,,,1000270,MG04,Distributor,,1,-558388.8,,,,
J.P.TRADING COMPANY,RENUKA ARCADE CTS NO.3378E  OPP TOW, ,HAVERI,581110,jptrading13@gmail.com, ,,,,,1000273,MG03,Distributor,,1000000,-485879,,,,
M S PAI & CO,P O BOX NO. 55 AZIZUDDIN ROAD  BUND, ,MANGALORE,575001,mppai_9@yahoo.co.in,98453921469,,,,,1000388,MG03,Distributor,,1000000,-53643,,,,
MAHINDRA RESIDENTIAL DEVELOPERS LTD,ADMINISTRATIVE BLOCK CENTRAL AVENUE, ,CHENGALPET,603002,GM.SRINIVASAN@mahindralifespaces.com,9840756703,,,,,1000389,MG09,Distributor,,1000000,-40586.92,,,,
MODICHEM PLAST MATERIALS PVT. LIMIT,C-901  SHIVALIK HEIGHTS  GURUKUL RO, ,VAPI,396191,modi@modichemplast.com, ,,,,,1000390,MG04,Distributor,,1,-2556137,,,,
M R TRADING & CO,PROP. BIBHUTI KUMAR PRUSTY  NEW COL, ,RAYAGADA,765001,mrtrading.rgda@gmail.com,9437083592,,,,,1000392,MG08,Distributor,,2000000,31335,,,,
SHREE MEHTA AGENCIES,C.S. NO:737 738  MEHTA ARCADE GANPA, ,SANGLI,416416,smo7344@gmail.com, ,,,,,1001127,MG08,Distributor,,1,0,,,,
BHAVIN TRADERS,3  VISNAGAR G.I.D.C. ASSOCIATION MA, ,VISNAGAR,384315,bhavinchaudhari16@yahoo.com,9409463741,,,,,1001128,MG08,Distributor,,1,0,,,,
SAI KRISHNA POLYMERS,13-144/1  DARDEPALLY ROAD , ,WARANGAL,506252,bompellikishanrao@gmail.com, ,,,,,1001129,MG08,Distributor,,1,-52388,,,,
CAPITAL CONTROLS INDIA PVT. LTD.,C/O MB POWER (MADHYA PRADESH) LTD, ,ANUPPUR,484330,kkansara@capitalcontrolsindia.com, ,,,,,1001130,MG04,Distributor,,1,0,,,,
IMERGY POWER SYSTEMS INDIA PVT. LTD, , ,GURGAON,122001,asanengineers@gmail.com, ,,,,,1001131,MG04,Distributor,,1,0,,,,
CHITRA TRADERS,304 GUPTESHWAR ROAD MADAN MAHAL , ,JABALPUR,482001,chitra.traders1@yahoo.in, ,,,,,1001133,MG08,Distributor,,1,0,,,,
DRIPLEX WATER ENGINEERING (INT'L) L,D-21 BAHADRABAD INDUSTRIAL AREA, ,HARIDWAR,249402,asanengineers@gmail.com, ,,,,,1001170,MG04,Distributor,,1,0,,,,
KALISINDH THERMAL POWER PLANT,VILLAGE-UNDAL  TEHSIL-JHALARAP, ,JHALAWAR,326023,saravanan.b@eed.bgrenergy.com, ,,,,,1001198,MG04,Distributor,,1,0,,,,
AQUATECH SYSTEMS ASIA PVT. LTD,PLOT NO.92  AMBI TALEGAON MIDC ROAD, ,PUNE,410501,DholeS@aquatech.com, ,,,,,1001220,MG04,Distributor,,1,0,,,,
MONDELEZ INDIA FOODS PVT.LTD. -U-II,H.No. 199 VILLAGE SANDOLI  TEHSIL N, ,BADDI,173205,rakesh.gupta2@mdlz.com,9318070204,,,,,1001248,MG07,Distributor,,1,0,,,,
RELIANCE INDUSTRIES LIMITED,HAZIRA MANUFACTURING DIVISION, ,SURAT,394510,prakashchand.balwani@ril.com, ,,,,,1001266,MG04,Distributor,,1,0,,,,
GENERAL PUMPS SL,POL. IND. EL OLIVERAL (U.E.7  NAVE N0 1) - CALLE W  46394 RI, ,VALENCIA,46394, , ,,,,,2000031,MG05,Distributor,,1,0,,,,
KUMALINGA TRADING LIMITED,UNIT NO.2  PLOT 397/2 KAFUE ROAD MAKENI , ,LUSAKA,10100, , ,,,,,2000032,MG05,Distributor,,1,0,,,,
ASTRAL TECHNOLOGIES LTD.,P.O.BOX. - 11267 , ,NAIROBI,400, , ,,,,,2000033,MG05,Distributor,,1,0,,,,
PHOENIX INDUSTRIES LTD.,35 RAGAMA ROAD , ,WELISARA,11010, , ,,,,,2000034,MG05,Distributor,,1,0,,,,
MURUGAN PIPE CORPORATION,NO. 65 45 FEET ROAD  VALLALAR SALAI, ,PONDICHERRY,605013,muruganpipecorp@gmail.com, ,,,,,1000371,MG09,Distributor,,1000000,-280574,,,,
MADHU ENTERPRISES,D. CROSS ROAD OPP.L.I.C. OFFICE , ,DODDABALLA,561203,madhuenterprises.dbpur@gmail.com,9886895661,,,,,1000372,MG03,Distributor,,1000000,-552189,,,,
M.G. MARKETING SERVICES,HEAD OFFICE - 4572  MAHAVIR BAZAR C, ,NEW DELHI,110025,manishgupta14@hotmail.com, ,,,,,1000373,MG07,Distributor,,4000000,-10188255,,,,
MANICKATH ASSOCIATES,LAKSHMY'S DOOR NO. TC/XIX/77/4  POO, ,THRISSUR,680004,chirayath_chirayath@yahoo.com, ,,,,,1000374,MG06,Distributor,,1,0,,,,
MODTECH MACHINES PVT. LTD.,PLOT NO. C2A/2  PHASE - I  G.I.D.C , ,AHMEDABAD,342443, , ,,,,,1000375,MG08,Distributor,,1,0,,,,
MAGNA METAL & MILL STORES,S.C.O. 28 SECTOR-18D, ,CHANDIGARH,160018,magnametal92@gmail.com, ,,,,,1000376,MG07,Distributor,,700000,672447.41,,,,
MARVEL TRADERS,V|||/614A B VAPPALASSERY  MEKKAD P., ,ERNAKULAM,683589,marvelangamaly@gmail.com,9847442020,,,,,1000377,MG06,Distributor,,1000000,-308373,,,,
MVP RAISE,MIG-1B  63 SECTOR-9 MVP COLONY, ,VISAKHAPATNAM,530017,mvpraise@gmail.com, ,,,,,1000378,MG01,Distributor,,1,11156,,,,
MITHALAL MALARA & SONS,211 BAPU BAZAR UDAIPUR, ,UDAIPUR,313001,ahq.udp@gmail.com,9414472707,,,,,1000379,MG08,Distributor,,2000000,93269,,,,
MARUTHI FABRICATORS,OPP. OLD GURUNATH RICE MILL ANDRAL, ,BELLARY,583102,maruthifabricatorsbly@gmail.com,9448131175,,,,,1000380,MG03,Distributor,,1500000,246563,,,,
MAHALAKSHMI TRADERS,NO. 94-A EAST RAJA STREET  (NEAR HO, ,KANCHIPURAM,631502,mla.kanchi@gmail.com, ,,,,,1000381,MG09,Distributor,,1,0,,,,
AJANTHA TRADING COMPANY,"TASGAON-SANGLI ROAD  NEAR ""SHREERAM", ,TASGAON,416312,ajanthatrading.co999@gmail.com, ,,,,,1000382,MG02,Distributor,,500000,4434,,,,
MERCURY SALES CORPORATION,RAILWAY ROAD , ,PANIPAT,132103, ,9254100190,,,,,1000383,MG07,Distributor,,1500000,-74092,,,,
MARATHWADA TRADING COMPANY,OLD GUL MARKET KAVVA ROAD  SHOP NO., ,LATUR,413512, , ,,,,,1000384,MG08,Distributor,,1,0,,,,
MODERN ELECTROMECHS,THRIPTHI NILAYA  BLOCK NO. 20 DECHU, ,MADIKERI,571201,calcuttatubecentre@yahoo.com, ,,,,,1000385,MG06,Distributor,,1000000,-74722,,,,
MADHAV SANITATION,NEAR RAJMAHAL HOTEL  GANJ ROAD , ,SHAHDOL,484001, ,9406774377,,,,,1000386,MG08,Distributor,,2000000,0,,,,
MIND COMP TECH PARK PVT.LTD.,4TH FLOOR SALARPURIA WINDSOR  NO. 3, ,BANGALORE,560042, ,7259040375,,,,,1000387,MG03,Distributor,,1,-352018,,,,
MAHENDRA TRADERS,NEAR BUS STAND, ,OTUR,412409, , ,,,,,1000391,MG08,Distributor,,1,0,,,,
MATOSHRI BORING HOUSE,YAWAL ROAD OPP. GORGAOLE PHATA  CHO, ,JALGAON,425107, , ,,,,,1000393,MG08,Distributor,,1,0,,,,
PREMIER ELEKTRICALS,120-A1  PALANI ROAD , ,UDAMALPET,642126,premierelektricals@gmail.com, ,,,,,1000489,MG09,Distributor,,1,-226068,,,,
PRAKASH HARDWARE & PIPE FITTINGS,TILAK ROAD  OPP: NEW BOMBAY LODGE, ,AKOLA,444001,rt9akl@gmail.com,9823870391,,,,,1000490,MG10,Distributor,,2000000,-1917371,,,,
PACIFICA CHENNAI PROJECT INFRASTRUC,AURUM TOWNSHIP VILLAGE:PADUR  OLD M, ,KANCHIPURAM,603103, , ,,,,,1000491,MG08,Distributor,,1,-1411043.9,,,,
P. D. ARYA & CO. PVT. LTD.,A - 21 22  RAJOURI GARDEN, ,NEW DELHI,110027,parmod_arrya@yahoo.com, ,,,,,1000492,MG07,Distributor,,1,4472,,,,
POOJA TILES & SANITARYWARES,OPP. POST OFFICE  DIST:RAICHUR, ,LINGASUGUR,584122,arunkhandelwal129@gmail.com, ,,,,,1000493,MG03,Distributor,,1,-6573,,,,
QDS TRADERS & ELECTRICAL HARDWARE,12-177 MADANAPALLI ROAD , ,PALLAMANER,517408,raj@qlddrilling.com, ,,,,,1000494,MG01,Distributor,,1,441,,,,
REDDY ENGINEERING CO.,4-1-8/1  TILAK ROAD  RAMKOTE , ,HYDERABAD,500001,reddyengineeringco@gmail.com,9849027377,,,,,1000495,MG01,Distributor,,1000000,-291944,,,,
RASHTRIYA CHEMICALS & FERTILIZERS L,(GOVERNMENT OF INDIA UNDERTAKING) , ,MUMBAI,400074, , ,,,,,1000496,MG04,Distributor,,1,-656892.64,,,,
RAICHUR HARDWARE,LINGASUGAUR ROAD  ., ,RAICHUR,584101,chetnaagencies@yahoo.co.in, ,,,,,1000497,MG03,Distributor,,1000000,-470700,,,,
RUMBBI IRON STORE,DURGA CHOWK  CHHOTA TALAB, ,CHHINDWARA,480001, , ,,,,,1000498,MG08,Distributor,,2000000,318,,,,
RAI & COMPANY,120/122.  ZERO ROAD , ,ALLAHABAD,211003,raicompany@gmail.com,9919019450,,,,,1000499,MG07,Distributor,,1600000,-2358131,,,,
RELIANCE INDUSTRIES LTD.,PATALGANGA MANUFACTURING DIVISION , ,PATALGANGA,410220, , ,,,,,1000500,MG04,Distributor,,1,0,,,,
CERAMIC TRADERS,KALASHREE COMPLEX  KOPERGAON, ,AHMEDNAGAR,423601,ceramic.traders@gmail.com, ,,,,,1000501,MG02,Distributor,,500000,-140221.64,,,,
RIDDHI SIDDHI GLUCO BIOLS LTD,PLOT NO.12  SECTOR-9  IIE PANTNAGAR, ,UDHAM SINGH NAGAR,263153,ajit@riddhisiddhi.co.in, ,,,,,1000502,MG04,Distributor,,1,0,,,,
RELIANCE INDUSTRIES LIMITED,NAGOTHANE MANUFACTURING DIVISION  T, ,RAIGAD,402125, , ,,,,,1000503,MG04,Distributor,,1,-189517.47,,,,
RIDDHI SIDDHI GLUCO BIOLS LIMITED,P.B. NO. 9  FALLS ROAD  GOKAK, ,BELGAUM,591307,purchase.gkk@riddhisiddhi.co.in, ,,,,,1000504,MG04,Distributor,,1,0,,,,
RAJARAM & BROTHERS,STARCH FACTORY, ,MANDSAUR,458001, ,9926772222,,,,,1000505,MG04,Distributor,,1,0,,,,
RASIK HARDWARE,ANKIT BUILDING NEAR BIG SPLASH HOTE, ,ALIBAG,402201,rasik_hardware@yahoo.in, ,,,,,1000506,MG10,Distributor,,2000000,7356.47,,,,
RELIANCE INDUSTRIES LTD,VILLAGE : MEGHPAR / PADANA  TALUKA, ,JAMNAGAR,361280, , ,,,,,1000509,MG04,Distributor,,1,-4146550.28,,,,
RAJLAXMI SALES CORPORATION,SHOP NO. 2 RAJ-RAJESHWARI COMPLEX , ,RANEBENNURU,581115, ,9844532776,,,,,1000510,MG03,Distributor,,1000000,0,,,,
ROOPA AGENCIES,CHIDAMBAR COMPLEX OPP.SVK BUS STAND, ,HOSPET,583201,roopaagencies_hpt@yahoo.co.in,94485160369,,,,,1000507,MG03,Distributor,,1500000,357535.07,,,,
RMT ENTERPRISES,5TH FLOOR SNEHADHARA  10-50-11 / 6, ,VISAKHAPATNAM,530002,rmte.vizag@gmaiI.com,9393109920,,,,,1000508,MG04,Distributor,,1,8057,,,,
PHIROZE KARAKA & CO.,SITE : WESTEND MALL WESTERN SEC-1 , ,PUNE,411007,karakaco@vsnl.net,9223362055,,,,,1001113,MG10,Distributor,,1,0,,,,
AGRAWAL TRADERS,MAIN ROAD, ,SHIRPUR,425405,agrawaltraders221@gmail.com,9421917120,,,,,1001114,MG08,Distributor,,1,-53,,,,
SYNTEL INTERNATIONAL PVT. LTD.,PLOT NO:I.T. 14 & 16  ELCOT IT SEZ, ,TIRUNELVELI,627352, , ,,,,,1001115,MG09,Distributor,,1,0,,,,
VARGO PETRO TECH PVT. LTD.,603  IMPERIAL HEIGHTS  NEAR KALALI, ,VADODARA,390020,pragnesh@vargopetro-tech.com,9825043737,,,,,1001116,MG12,Distributor,,1,0,,,,
AVR ENERGY, , ,NAGPUR,440001,avrenergy12@gmail.com, ,,,,,1001117,MG04,Distributor,,1,-43221,,,,
GAIL(INDIA) LIMITED,PATA DIBIYAPUR, ,AURAIYA,206241,ravi.aggarwal@projects.trivenigroup.com, ,,,,,1001118,MG04,Distributor,,1,0,,,,
PALAVA DWELLERS PVT. LTD (6 MID), , ,MUMBAI,421204,shipa.Dodamani@ge.com,8691939931,,,,,1001119,MG04,Distributor,,1,0,,,,
NTPC LIMITED ,PO ADITYA NAGAR, ,SURAT,394516,projects@aquadesigns.in, ,,,,,1001120,MG04,Distributor,,1,0,,,,
CHHATTISGARH STATE POWER,2X500 MW  MARWA TENDUBHATA THERMAL, ,CHAMBA,495668,balakumar.y@eed.bgrenergy.com, ,,,,,1001121,MG04,Distributor,,1,0,,,,
JAIPRAKASH POWER VENTURES LTD,JAYPEE NIGRIE SUPER THERMAL POWER, ,SINGRAULI,486669, , ,,,,,1001122,MG04,Distributor,,1,0,,,,
SHIVAM ENGINEERING,PLOT NO: - 154, ,MEHSANA,384002, , ,,,,,1001123,MG01,Distributor,,1,0,,,,
MANSOOR STEEL TRADERS,NEAR RAILWAY STATION, ,VALLABH VIDHYANAGAR,388120, , ,,,,,1001124,MG01,Distributor,,1,0,,,,
MAHAVIR MARKETING,ROYAL ENCLAVE  HOLDING NO:100/A/2/2, ,SILIGURI,734001,suniljain1210@gmail.com,9434249099,,,,,1001125,MG08,Distributor,,1,-11328,,,,
SRINIVASA FERTILIZERS AND PAINTS,10/25  GADELA ROAD , ,OBULAVARIPALLI,516108,srinivasafertilizers.paints@gmail.com,9885839385,,,,,1001126,MG08,Distributor,,1,-4362,,,,
SRI BHANU ELECTRICALS,7/46  MAIN ROAD, ,NAKREKAL,508211, ,99487841768,,,,,1001132,MG08,Distributor,,1,0,,,,
ONGC TRIPURA POWER CO  LTD,PO PALATANA, ,GOMATI DIS,799116,aradhanagroups@gmailcom, ,,,,,1001134,MG04,Distributor,,1,0,,,,
JINDAL STEEL &N POWER LIMITED, , ,ANGUL,759111,lathgroup@gmail.com, ,,,,,1001135,MG04,Distributor,,1,0,,,,
SURYA AGENCIES.,PLOT NO: 287 IRON YARD  LOTUS STEEL, ,VIJAYAWADA,520012,suryasvr@gmail.com,9849565714,,,,,1000637,MG01,Distributor,,5000000,-327964.34,,,,
SHANKARA INFRASTRUCTURE MATERIALS L,2ND. CROSS  GARDEN AREA, ,SHIMOGA,577201, , ,,,,,1001053,MG03,Distributor,,1,0,,,,
ASHIYANA TRADERS,GURURWAR PETH, ,MIRAJ,416410, ,9850762691,,,,,1001054,MG02,Distributor,,1,102881,,,,
ADVANCED ADHESIVES LIMITED,BLOCK NO:2221/1  NEAR SHAH ALLOYS S, ,KALOL,382721,info@advancedadhesives.in, ,,,,,1001055, ,Distributor,,1,-4687049.2,,,,
VEEJAY SANIWARES PRIVATE LIMITED,251  252, ,KOTA,324007,nishantvjy@gmail.com,9413354620,,,,,1001056,MG08,Distributor,,1,-8442025,,,,
SIDDHI ELECTRICAL ENTERPRISE,U-7  AALISHAN ENCLAVE , ,SURAT,395009,AAYUMAI@YAHOO.COM,9825138827,,,,,1001057,MG12,Distributor,,1,0,,,,
CARLSBERG INDIA PVT LTD, , ,ALWAR,301030,Sampath.Kumar@ge.com, ,,,,,1001058,MG04,Distributor,,1,0,,,,
YERAMARUS THERMAL POWER STATION,RAICHUR POWER CORPORATION LIMITED, ,RAICHUR,584134, , ,,,,,1001059,MG04,Distributor,,1,0,,,,
CRYSTAL ENGINEERING SYSTEMS PVT. LT,1186/2A & 2B  KELAMANGALAM ROAD, ,HOSUR,635110, , ,,,,,1001060,MG04,Distributor,,1,0,,,,
SCHREIBER DYNAMIX DAIRIES LTD,E-94  MDIC  BHIGWAN ROAD, ,BARAMATI,413133, , ,,,,,1001061,MG04,Distributor,,1,0,,,,
KRIBHCO SHYAM FERTILIZERS LIMITED,VILLAGE & POST OFFICE  PIPROLA , ,SHAHJAHANPUR,242001, , ,,,,,1001062,MG04,Distributor,,1,0,,,,
ARAVALI POWER COMPANY PRIVATE LIMIT,INDIRA GANDHI SUPER THERMAL POWER P, ,JHAJJAR,124141, , ,,,,,1001063,MG04,Distributor,,1,0,,,,
NEW PARLI THERMAL POWER PROJECT,MAHARASHTRA STATE POWER GENERATION, ,PARLI VAIJ,431520, , ,,,,,1001064,MG04,Distributor,,1,0,,,,
S.D. PIPE,HABIB CRANE COMPOUND NR. DATTA MAND, ,MUMBAI,400070,nirmalagencies123@yahoo.co.in,98695578168,,,,,1001065,MG10,Distributor,,1,0,,,,
BILFINGER WATER TECHNOLOGIES(INDIA),53/P  VILLAGE : KHATRAJ  TALUKA : K, ,AHMEDABAD,382721,mukesh.suthar@bilfinger.com, ,,,,,1001066,MG08,Distributor,,1,-114441,,,,
KAJARIA PIPES, , ,NASIK,422011,sales@kajariapipes.com,9423212752,,,,,1001067,MG10,Distributor,,1,0,,,,
KAJARIA PIPES, , ,THANE,400601,sales@kajariapipes.com, ,,,,,1001068,MG10,Distributor,,1,0,,,,
BELLARY THERMAL POWER STATION, , ,BELLARY,583152,Mithun.J@ge.com, ,,,,,1001071,MG04,Distributor,,1,0,,,,
UDUPI POWER CORPORATION LIMITED,(UPCL/Owner), ,PADUBIDRI,574113,asanengineers@gmail.com, ,,,,,1001073,MG04,Distributor,,1,-37170518,,,,
